Unnamed: 0,server_name,IP,logname,authenticate,date,petition,URL,status,bytes,referer,user-agent,level
40,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:54+01:00,GET,/plantilles/turisme/img/ajuntament-sitges.gif HTTP/2.0,200,5492,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
41,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:54+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.2029.196 Safari/537.36",0
42,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:54+01:00,GET,/plantilles/turisme/img/logo-biosphere-gold.png HTTP/2.0,200,25387,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
43,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:54+01:00,GET,/plantilles/turisme/img/logo-dti.png HTTP/2.0,200,15171,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
44,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:54+01:00,GET,/plantilles/turisme/img/logo-cat-viles-marineres.gif HTTP/2.0,200,9291,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
45,www.sitgesanytime.com,195.82.120.225,-,-,2024-01-22 00:00:54+01:00,GET,/plantilles/turisme/img/logo-peu-costa-barcelona.jpg HTTP/2.0,200,56837,https://www.sitgesanytime.com/es/actualidad/agenda.htm,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",0
46,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:55+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.2029.196 Safari/537.36",0
47,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:56+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,661,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.2029.196 Safari/537.36",0
48,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:00:56+01:00,GET,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,10196,-,"Mozilla/5.0 (Windows NT 6.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.2029.196 Safari/537.36",0
49,sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:00+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,301,4840,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3366.3 Safari/537.36",0
50,www.sitgesanytime.com,47.76.35.19,-,-,2024-01-22 00:01:01+01:00,HEAD,/fr/pag492/explora-platges-i-ports-2/id12/les-anquines.htm HTTP/1.1,200,5260,-,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3366.3 Safari/537.36",0
